o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
483|3482|O|69215.18|1995-07-11|2-HIGH|Clerk#000000025|0|cross the carefully final e|483|3270|524|1|8.00|9386.16|0.00|0.08|N|O|1995-08-22|1995-08-23|1995-09-18|COLLECT COD|RAIL|osits. carefully fin
512|6304|P|183822.33|1995-05-20|5-LOW|Clerk#000000814|0|ding requests. carefully express theodolites was quickly. furious|512|2285|790|2|37.00|43929.36|0.01|0.04|N|O|1995-06-20|1995-07-05|1995-07-16|NONE|RAIL|nic depths cajole? blithely b
839|2789|O|111131.43|1995-08-08|1-URGENT|Clerk#000000951|0|the carefully even platelets. furiously unusual fo|839|15708|504|1|23.00|37345.10|0.07|0.02|N|O|1995-10-17|1995-11-03|1995-11-04|COLLECT COD|AIR|ng ideas haggle accord
839|2789|O|111131.43|1995-08-08|1-URGENT|Clerk#000000951|0|the carefully even platelets. furiously unusual fo|839|18832|833|2|47.00|82289.01|0.08|0.00|N|O|1995-10-17|1995-11-06|1995-11-10|NONE|AIR|refully final excuses about 
1127|5743|O|171617.51|1995-09-19|4-NOT SPECIFIED|Clerk#000000397|0|usly silent, regular pinto beans. blithely express requests boos|1127|10977|498|2|38.00|71742.86|0.09|0.05|N|O|1995-11-07|1995-11-11|1995-11-26|DELIVER IN PERSON|RAIL|. never final packages boost acro
1281|6110|F|247997.09|1994-12-11|1-URGENT|Clerk#000000430|0|counts. carefully pending accounts eat |1281|7789|561|7|43.00|72961.54|0.10|0.02|R|F|1995-01-28|1995-02-08|1995-02-10|DELIVER IN PERSON|AIR|final accounts. final packages slee
1538|2893|O|252163.70|1995-06-18|4-NOT SPECIFIED|Clerk#000000258|0| instructions. regular theod|1538|10175|436|1|32.00|34725.44|0.05|0.05|N|O|1995-07-08|1995-07-29|1995-08-01|TAKE BACK RETURN|RAIL|uses maintain blithely. fluffily
1891|6091|F|110635.02|1994-12-15|5-LOW|Clerk#000000495|0|unusual foxes sleep regular deposits. requests wake special pac|1891|18310|579|2|18.00|22109.58|0.06|0.00|A|F|1995-01-24|1995-01-29|1995-02-14|NONE|RAIL| foxes above the carefu
1927|13984|O|30839.69|1995-09-30|3-MEDIUM|Clerk#000000616|0|riously special packages. permanent pearls wake furiously. even packages alo|1927|7247|762|2|15.00|17313.60|0.08|0.08|N|O|1995-12-25|1995-12-26|1995-12-31|COLLECT COD|RAIL| carefully regular requests sleep car
1988|10741|O|169703.29|1995-10-06|4-NOT SPECIFIED|Clerk#000000011|0|ly ironic dolphins serve quickly busy accounts. bu|1988|5379|145|3|8.00|10274.96|0.06|0.01|N|O|1995-10-20|1995-11-11|1995-11-18|DELIVER IN PERSON|AIR|le quickly ac
2018|1759|P|40875.08|1995-04-05|4-NOT SPECIFIED|Clerk#000000920|0|gular accounts wake fur|2018|12812|813|2|23.00|39670.63|0.05|0.01|R|F|1995-05-05|1995-05-12|1995-05-22|TAKE BACK RETURN|RAIL|ingly even theodolites s
2053|14059|F|147969.97|1995-02-07|1-URGENT|Clerk#000000717|0|ar requests: blithely sly accounts boost carefully across t|2053|6428|941|3|46.00|61383.32|0.01|0.03|R|F|1995-04-01|1995-04-02|1995-04-18|NONE|RAIL|tions. furiously even requests hagg
2277|8872|F|126760.92|1995-01-02|4-NOT SPECIFIED|Clerk#000000385|0|accounts cajole. even i|2277|792|43|2|2.00|3385.58|0.10|0.08|A|F|1995-02-01|1995-02-04|1995-03-02|TAKE BACK RETURN|AIR|endencies sleep idly pending p
2309|9952|O|233217.03|1995-09-04|5-LOW|Clerk#000000803|0|he carefully pending packages. fluffily stealthy foxes engage carefully|2309|19488|27|6|21.00|29557.08|0.09|0.00|N|O|1995-11-05|1995-11-07|1995-11-22|NONE|AIR|unts around the dolphins ar
2657|2459|O|217150.88|1995-10-17|2-HIGH|Clerk#000000160|0| foxes-- slyly final dependencies around the slyly final theodo|2657|16488|21|2|15.00|21067.20|0.08|0.05|N|O|1995-12-09|1995-12-16|1995-12-18|NONE|RAIL|ole carefully above the ironic ideas. b
2657|2459|O|217150.88|1995-10-17|2-HIGH|Clerk#000000160|0| foxes-- slyly final dependencies around the slyly final theodo|2657|19316|855|6|31.00|38294.61|0.01|0.03|N|O|1995-11-10|1995-11-27|1995-12-06|COLLECT COD|RAIL|re blithely 
3008|3931|O|242588.80|1995-11-08|3-MEDIUM|Clerk#000000701|0|ze quickly. blithely regular packages above the slyly bold foxes shall|3008|2306|307|3|40.00|48332.00|0.01|0.03|N|O|1995-12-18|1996-01-06|1996-01-11|COLLECT COD|AIR|esias. theodolites detect blithely 
3430|11209|F|208412.32|1994-12-12|4-NOT SPECIFIED|Clerk#000000664|0| regular attainments are at the final foxes. final packages along the blithe|3430|9639|640|3|41.00|63493.83|0.06|0.04|R|F|1995-02-18|1995-02-21|1995-03-11|TAKE BACK RETURN|AIR|cuses. silent excuses h
3911|883|P|47666.21|1995-03-17|4-NOT SPECIFIED|Clerk#000000818|0|he fluffily final forges haggle slyly according to the blithely|3911|11887|671|2|14.00|25184.32|0.08|0.05|R|F|1995-04-28|1995-05-03|1995-05-22|NONE|RAIL|e blithely brave depo
4227|13180|F|138518.67|1995-02-24|1-URGENT|Clerk#000000063|0|ng the requests; ideas haggle fluffily. slyly unusual ideas c|4227|19929|737|4|2.00|3697.84|0.02|0.05|R|F|1995-04-24|1995-05-09|1995-05-21|DELIVER IN PERSON|AIR|ep. specia
4327|14545|P|182562.62|1995-03-16|2-HIGH|Clerk#000000571|0|yly pending braids. final requests abo|4327|2001|506|4|8.00|7224.00|0.04|0.08|N|F|1995-05-26|1995-05-28|1995-06-19|DELIVER IN PERSON|AIR|eodolites cajole; unusual Tiresias
4672|7876|O|246814.75|1995-11-07|1-URGENT|Clerk#000000475|0|lyly final dependencies caj|4672|5815|71|1|22.00|37857.82|0.01|0.07|N|O|1995-12-03|1995-12-08|1995-12-17|COLLECT COD|AIR|l instructions. blithely ironic packages 
4742|6362|P|234871.03|1995-03-23|3-MEDIUM|Clerk#000000058|0|n packages. quickly regular ideas cajole blithely|4742|9934|935|5|45.00|82976.85|0.05|0.00|R|F|1995-05-12|1995-05-14|1995-06-07|TAKE BACK RETURN|RAIL|ke carefully. do
5153|11231|O|255137.17|1995-08-26|1-URGENT|Clerk#000000954|0| the furiously ironic foxes. express packages shall cajole carefully across|5153|6787|44|3|30.00|50813.40|0.09|0.01|N|O|1995-11-10|1995-11-14|1995-11-16|DELIVER IN PERSON|AIR|beans sleep bl
