_,PS,PS_prov,PS_search,base,base_prov,base_search
-1,181.41,108.07,73.33,0.00,0.00,0.00
0,157.95,108.53,49.41,0.00,0.00,0.00
1,143.25,112.15,31.10,0.00,0.00,0.00
2,141.29,119.58,21.71,0.00,0.00,0.00
3,98.44,98.44,0.00,0.00,0.00,0.00
4,99.63,99.63,0.00,0.00,0.00,0.00
5,97.73,97.73,0.00,0.00,0.00,0.00
6,102.22,102.22,0.00,0.00,0.00,0.00
7,101.21,101.21,0.00,0.00,0.00,0.00
8,95.84,95.84,0.00,0.00,0.00,0.00
9,118.81,118.81,0.00,0.00,0.00,0.00
10,99.70,99.70,0.00,0.00,0.00,0.00
11,94.50,94.50,0.00,0.00,0.00,0.00
