blue x
1 600.0
1 1039.9
1 1200.0
0 1800.0
0 2400.0
0 2521.4
0 3000.0
1 3600.0
0 4159.9
1 4200.0
1 4710.7
1 4800.0
1 4873.7
0 4883.2
0 5040.0
0 5082.6
0 5199.8
0 5200.0
1 5760.0
1 6000.0
1 6095.3
1 6125.5
0 6240.0
1 6713.2
0 6938.5
0 7158.0
0 7200.0
0 7272.2
1 7500.0
0 7543.7
0 7800.0
1 8320.0
1 8400.0
0 8507.2
0 8640.0
1 8699.2
0 9000.0
0 9021.0
1 9100.0
0 9140.6
0 9223.2
0 9225.0
0 9360.0
0 9512.4
0 9568.0
0 9600.0
0 9828.0
0 9888.5
0 10010.6
1 10135.7
1 10220.0
1 10353.0
1 10399.9
0 10448.3
1 10490.4
0 10491.8
0 10500.0
0 10580.6
0 10621.1
0 10688.6
1 10764.0
0 10800.0
1 10840.6
0 10846.0
1 10848.0
0 10866.0
0 10972.0
1 11036.2
1 11040.0
0 11055.2
0 11070.0
0 11137.6
0 11138.4
0 11205.2
0 11274.1
0 11305.8
1 11305.9
1 11352.5
1 11440.0
0 11442.1
0 11465.8
0 11514.4
0 11520.0
0 11575.1
1 11618.9
0 11644.3
0 11700.0
1 11777.0
0 11806.3
0 11806.4
0 11813.0
0 11856.0
0 11890.4
1 11890.6
1 11902.0
0 11916.0
0 11959.9
0 11989.9
1 12000.0
0 12029.8
1 12029.9
1 12032.6
1 12091.6
0 12095.8
1 12120.4
0 12184.3
0 12187.7
0 12209.5
0 12240.0
0 12289.7
0 12294.1
0 12300.0
0 12324.0
1 12381.0
1 12382.1
0 12401.5
0 12443.6
1 12480.0
0 12527.0
0 12592.8
0 12614.3
0 12688.0
0 12695.8
1 12699.2
0 12705.6
1 12739.8
0 12784.7
0 12941.2
0 12999.8
0 13000.0
0 13008.6
0 13165.9
0 13166.0
1 13166.6
1 13200.0
0 13286.0
0 13306.8
1 13338.0
0 13406.3
1 13407.1
0 13426.3
1 13447.2
1 13457.5
0 13495.1
1 13500.0
0 13520.2
0 13548.0
1 13560.0
0 13561.6
1 13599.5
0 13661.3
0 13728.0
0 13753.9
0 13780.1
1 13800.0
1 13877.0
0 13920.0
0 13934.6
0 13956.7
1 13967.3
0 13985.4
0 14040.0
1 14081.8
0 14087.6
1 14100.0
0 14105.9
0 14112.0
0 14112.7
1 14118.5
0 14132.3
1 14132.4
0 14132.5
0 14167.6
1 14238.0
1 14256.0
0 14268.0
0 14268.6
0 14287.9
0 14306.2
0 14344.7
0 14352.0
0 14400.0
1 14560.0
1 14624.8
0 14626.9
0 14637.5
0 14640.0
1 14660.0
0 14663.3
0 14700.0
0 14718.0
1 14719.6
0 14733.8
1 14757.6
1 14788.8
0 14861.5
0 14904.0
1 14976.0
0 14977.4
0 15000.0
1 15031.9
0 15042.0
1 15087.5
1 15093.2
1 15179.8
0 15205.3
0 15213.7
1 15224.0
1 15300.0
0 15389.9
1 15398.0
0 15420.0
0 15450.0
1 15457.7
0 15516.0
0 15572.0
1 15594.0
0 15600.0
1 15703.9
0 15777.1
0 15900.0
1 16154.5
1 16182.5
1 16191.5
0 16200.0
1 16279.8
1 16311.7
1 16360.2
1 16380.0
1 16475.3
0 16487.9
0 16488.0
0 16500.0
1 16515.8
0 16707.6
1 16816.8
0 16817.9
0 16843.3
1 16857.2
1 16962.4
0 16972.8
1 16983.1
0 17000.0
0 17160.0
1 17220.0
0 17239.2
0 17419.6
0 17429.4
1 17482.4
1 17546.9
0 17558.5
1 17598.5
0 17676.0
1 17677.1
0 17680.0
0 17928.0
1 17940.0
0 17948.5
1 17992.0
1 18000.0
0 18012.0
0 18023.2
0 18044.5
1 18049.2
1 18086.3
0 18119.0
0 18155.4
1 18165.8
1 18199.9
1 18204.0
1 18276.0
1 18376.8
0 18429.4
0 18442.6
0 18450.0
0 18499.9
0 18530.9
0 18576.5
0 18600.0
1 18684.0
0 18720.0
0 18735.6
0 18801.2
1 18843.2
0 18892.9
0 18893.0
1 18938.8
0 18950.2
0 19029.5
0 19039.1
0 19054.1
1 19080.0
0 19135.1
1 19146.0
0 19151.2
0 19200.0
0 19217.2
1 19225.1
0 19242.7
0 19499.9
0 19535.2
0 19546.8
1 19554.1
0 19629.6
0 19701.5
0 19705.7
0 19723.8
0 19759.9
0 19776.1
0 19777.0
0 19790.6
1 19809.6
0 19845.2
1 19890.0
1 19999.2
0 19999.9
0 20000.0
1 20019.0
0 20021.4
1 20028.0
1 20034.0
0 20042.9
0 20043.0
0 20139.5
0 20139.6
1 20142.7
0 20145.2
0 20147.4
1 20208.5
1 20215.3
0 20215.4
0 20241.1
1 20270.4
0 20271.0
0 20271.4
0 20286.0
0 20343.6
1 20346.0
0 20381.0
0 20400.0
0 20405.6
0 20421.6
0 20440.3
1 20449.3
0 20461.7
0 20463.2
0 20469.1
0 20472.0
1 20474.3
0 20483.3
0 20522.9
0 20609.6
1 20677.4
1 20691.4
0 20699.9
0 20706.0
0 20720.8
0 20722.1
1 20735.3
1 20742.4
1 20744.3
0 20744.4
1 20782.3
0 20800.0
0 20814.0
0 20852.0
0 20922.8
1 20923.0
0 20923.1
0 20935.1
0 20935.2
0 20936.8
0 20952.7
0 20958.2
0 20959.3
0 20974.9
0 20980.8
0 21000.0
1 21020.6
0 21051.0
0 21051.1
0 21071.6
1 21082.2
0 21109.8
0 21114.0
0 21122.2
0 21133.6
0 21134.0
0 21134.2
0 21135.1
0 21136.4
0 21155.5
0 21156.0
0 21160.9
1 21161.3
0 21161.4
0 21165.0
1 21169.2
1 21175.9
1 21176.0
0 21177.7
0 21177.8
1 21179.6
1 21186.0
1 21187.3
0 21200.2
0 21200.3
0 21223.6
1 21223.7
1 21232.2
1 21236.5
0 21240.0
0 21250.0
1 21345.1
0 21357.0
0 21368.5
0 21372.0
1 21377.4
1 21379.9
0 21386.2
1 21399.5
1 21400.0
0 21402.0
0 21402.1
1 21403.2
1 21424.3
0 21430.7
0 21445.8
0 21445.9
1 21446.0
0 21447.2
1 21447.4
0 21470.2
0 21470.3
0 21470.4
1 21520.3
1 21525.0
0 21541.7
0 21559.8
1 21585.1
1 21586.0
0 21600.0
1 21602.6
0 21623.0
0 21641.8
0 21648.0
0 21669.5
1 21671.3
0 21681.0
1 21684.0
0 21690.2
0 21690.4
1 21692.9
0 21694.1
0 21715.1
0 21715.2
1 21732.0
0 21741.4
0 21746.2
0 21756.4
0 21766.0
1 21780.2
0 21787.7
0 21787.8
0 21795.6
0 21796.2
0 21802.3
0 21808.8
