provenance time = 0.011864185333251953
searching time = 537.249400138855
assign_to_provenance_num = 691127
running time = 537.2612652778625
[5000, 22942.8]
[21831.6, 25000.0]
[21827.64, 25000.08]
[21813.12, 24992.88]
[21810.0, 24972.36]
[21809.04, 24970.08]
[21808.8, 24969.96]
[21802.32, 24969.6]
[21796.2, 24930.0]
[21795.6, 24925.8]
[21780.24, 24901.68]
[21765.96, 24885.48]
[21756.36, 24861.48]
[21732.0, 24859.68]
[21715.2, 24803.4]
[21692.88, 24800.04]
[21671.28, 24776.76]
[21669.48, 24773.88]
[21520.32, 24741.0]
[21470.4, 24732.24]
[21169.2, 24711.84]
[21161.28, 24708.0]
[21160.92, 24700.56]
[21156.0, 24699.96]
[21155.52, 24696.0]
[21136.44, 24673.8]
[21135.12, 24669.48]
[21134.16, 24664.68]
[21134.04, 24664.56]
[21133.56, 24664.08]
[21122.16, 24661.56]
[21082.2, 24633.96]
[21071.64, 24616.32]
[21020.64, 24610.68]
[21000.0, 24600.0]
[20980.8, 24592.68]
[20974.92, 24592.32]
[20959.32, 24591.96]
[20958.24, 24576.0]
[20952.72, 24571.32]
[20936.76, 24570.48]
[20935.2, 24455.16]
[20922.96, 24425.76]
[20735.28, 24415.92]
[20722.08, 24415.8]
[20677.44, 24391.92]
[20609.64, 24386.04]
[20474.28, 24380.28]
[20472.0, 24378.48]
[20469.12, 24373.56]
[20449.32, 24363.12]
[20440.32, 24354.84]
[20421.6, 24352.32]
[20405.64, 24342.24]
[20346.0, 24341.16]
[20343.6, 24323.52]
[20286.0, 24298.8]
[20208.48, 24294.36]
[20142.72, 24294.24]
[20139.6, 24222.72]
[19809.6, 24209.76]
[19790.64, 24203.28]
[19776.96, 24203.04]
[19776.12, 24195.24]
[19759.92, 24189.84]
[19723.8, 24182.52]
[19705.68, 24177.96]
[19554.12, 24177.24]
[19546.8, 24172.92]
[19535.16, 24159.72]
[19225.08, 24153.0]
[19217.16, 24151.32]
[19080.0, 24054.24]
[19054.08, 24052.2]
[19039.08, 24046.2]
[18938.76, 24044.04]
[18843.24, 24041.28]
[18801.24, 24023.64]
[18684.0, 24021.24]
[18600.0, 24010.56]
[16154.52, 24010.44]
[15031.92, 24005.52]
[14719.56, 24000.0]
[14718.0, 23844.12]
[14660.04, 23844.0]
[14559.96, 23801.04]
[14400.0, 23778.48]
[14352.0, 23726.16]
[14344.68, 23653.44]
[14306.16, 23644.44]
[14238.0, 23612.88]
[14118.48, 23588.52]
[14112.72, 23577.84]
[14081.76, 23572.08]
[13967.28, 23562.48]
[13800.0, 23559.24]
[13780.08, 23558.28]
[13753.92, 23554.32]
[13166.64, 23548.44]
[13166.04, 23545.2]
[13165.92, 23524.68]
[13008.6, 23518.08]
[12999.96, 23505.24]
[12999.84, 23504.16]
[12699.24, 23499.6]
[12695.76, 23488.92]
[12687.96, 23485.68]
[12614.28, 23457.96]
[12381.0, 23428.68]
[12324.0, 23406.48]
[12300.0, 23399.04]
[12294.12, 23383.56]
[12289.68, 23377.08]
[12000.0, 23362.44]
[11890.56, 23360.28]
[11890.44, 23355.6]
[11856.0, 23319.0]
[11813.04, 23318.52]
[11777.04, 23312.76]
[11618.88, 23270.52]
[11575.08, 23268.0]
[11305.92, 23252.52]
[11305.8, 23239.08]
[11274.12, 23233.2]
[11205.24, 23229.84]
[11138.4, 23214.36]
[11036.16, 23208.96]
[10764.0, 23198.64]
[10135.68, 23193.84]
[10010.64, 23192.76]
[9888.48, 23157.96]
[9828.0, 23132.4]
[9600.0, 23130.0]
[9567.96, 23129.04]
[9512.4, 23040.0]
[9360.0, 23033.28]
[9225.0, 23011.8]
[9099.96, 23008.92]
[8319.96, 23004.96]
[5760.0, 22983.72]
[5199.96, 22979.52]
[5199.84, 22979.16]
[5082.6, 22978.56]
